Establishment_PredictedPowerScore,Establishment_ID,Establishment_Rank,Establishment_Street,Establishment_Name
96.918896118,97131,1249,S. FLOYD ST.,WILD EGGS
96.9224447896,95296,1250,PHILLIPS LN.,KY KINGDOM CACTUS JACKS
96.9236490845,90148,1251,POPLAR LEVEL RD,QDOBA
96.9275021936,97301,1252,HERR LANE,WILD EGGS #2
96.9290405091,52942,1253,DIANN MARIE ROAD,BURGER KING #542
96.9317111172,84789,1254,S 15TH STREET,HEALING PLACE WOMEN & CHILDREN
96.9319269432,88591,1255,WESTPORT ROAD,WESTPORT PLACE
96.9319269432,95429,1256,SHELBYVILLE RD. #642,BLAZE PIZZA
96.9364732598,60985,1257,S. FLOYD STREET,CENTERPLATE-1
96.9376222804,34292,1258,POPLAR LEVEL RD,MARMADUKE'S
96.9428973762,68592,1259,DIXIE HIGHWAY,WHITE CASTLE #36
96.9441375932,86228,1260,NATIONAL TURNPIKE,SUBWAY
96.9443654856,90574,1261,W. ASHLAND AVE,OLD RASCALS
96.9443654856,99096,1262,MEETING STREET,CITIZEN 7
96.9455450274,93156,1263,PRESTON CROSSINGS BLVD.,PRESTON CROSSINGS CINEMA CORE CONCESSION
96.9455957016,96654,1264,BROWNSBORO CENTER,ANOOSH BISTRO
96.9492836314,50199,1265,LYTLE STREET,DISMAS CHARITIES
96.951869253,90126,1266,STANDIFORD PLAZA DR,QDOBA # 2546
96.9526760671,92069,1267,WATTERSON TRL,CAFE AT MAIN ST
96.9526760671,96572,1268,LAGRANGE RD,BASKIN ROBBINS #353400
96.953131554,52118,1269,BARDSTOWN ROAD,DAYS EXPRESSO & COFFEE BAR
96.9544053416,66130,1270,MUD LANE,WENDY'S
96.9585215485,63550,1271,OLD SHEPHERDSVILLE ROAD,MCDONALD'S
96.9619198765,33114,1272,WESTPORT RD,MCDONALD'S RESTAURANT
96.9626211486,33419,1273,FOXCRAFT ROAD,HUNTING CREEK POOL CONCESSION
96.9627262317,63901,1274,E. MAIN STREET,CENTERPLATE / FIRST BASE GRILL
96.9629171436,85878,1275,SHELBYVILLE ROAD,HAVANA RUMBA #2
96.9630370098,82255,1276,POPLAR LEVEL ROAD,CHILI'S
96.9636892096,97496,1277,FACTORY LN,JIMMY JOHN'S #3234
96.9663571821,34800,1278,VINE ST,COACH LAMP RESTAURANT & PUB
96.966513783,86764,1279,BARDSTOWN ROAD,HANAN WOK
96.9670271524,84451,1280,PARAMOUNT PARK DRIVE,#52 SPORTS BAR & KITCHEN
96.9707026478,61484,1281,S. 4TH STREET,HEINE BROS. COFFEE
96.9707189284,97358,1282,LYDIA STREET,LYDIA HOUSE
96.9709963349,33262,1283,DUTCHMANS LANE,NORTON ST MATTHEWS HOSPITAL
96.9736604509,63523,1284,BUECHEL BY-PASS,PIZZA HUT #013430
96.9737249876,66871,1285,DIXIE HIGHWAY,HOLY CROSS HIGH SCH BASEBALL-FOOTBALL CONCESSION
96.9738411935,32535,1286,LOWE ROAD,DES PRES PARK CONCESSION STAND
96.9833051081,57275,1287,TAYLORSVILLE ROAD,PIZZA HUT #013428
96.9849049828,93157,1288,PRESTON CROSSINGS BLVD.,PRESTON CROSSINGS SBARRO
96.9849303062,91466,1289,BARDSTOWN RD,FUNMI'S CAFE
96.9868103812,68725,1290,PRESTON HIGHWAY,LAQUINTA INN & SUITES
96.9888124364,98403,1291,BARDSTOWN RD,BEEF O' BRADY'S
96.9907394622,76383,1292,BARDSTOWN ROAD,STARBUCKS
96.9949097113,101667,1293,PHILLIPS LN,KENTUCKY PORK PRODUCERS SW2
96.9970451795,71713,1294,MUD LANE,PAPA MURPHY'S PIZZA
96.9972332154,33276,1295,PRESTON HIGHWAY,FAZOLI'S
97.0025994432,86717,1296,LEXINGTON ROAD,LIFE BAR
97.0030356668,86157,1297,LYDIA ST,OLD HICKORY INN
97.0083216706,91089,1298,S. 4TH STREET,POD
97.010382922,77733,1299,BUECHEL BY PASS SUITE 106,CHINA I
97.0152696662,93807,1300,BARDSTOWN RD,MASHA-ALLAH AFRICAN RESTAURANT
97.018140889,34923,1301,S 3RD STREET,OLLIE'S TROLLEY #9
97.0205263342,98730,1302,BROWNSBORO RD,PENN STATION
97.022223288,34884,1303,HURSTBOURNE CLUB LANE,HURSTBOURNE CLUB SNACKBAR
97.0242626326,98484,1304,BRECKENRIDGE LN,ARBY'S
97.0251234842,35015,1305,MARY DELL LN,CHARLIE VETTINER GOLF COURSE
97.0269264783,34575,1306,BROWNSBORO RD,SUBWAY SANDWICHES & SALAD
97.0283400963,79768,1307,FRANKFORT AVENUE,CRAVE CAFE AND CATERING
97.0304371686,90868,1308,BARDSTOWN ROAD,SALA THAI RESTAURANT
97.0332321956,73644,1309,W JEFFERSON ST,STARBUCKS AT MARRIOTT
97.0357931127,77986,1310,SHELBYVILLE ROAD,MCALISTER'S DELI # 1258
97.0385086983,35085,1311,CRUMS LANE,AMERICAN LEGION DIXIE POST #2
97.0419616312,98740,1312,E BURNETT AVE,MONNIK BEER COMPANY
97.0434371861,52869,1313,BRECKENRIDGE LN,JOE MUGGS
97.0438582343,90483,1314,BLANKENBAKER PKWY,HEINE BROTHERS COFFEE
97.0457516244,68711,1315,CRITTENDEN DRIVE,ARBY'S #7349
97.0471107387,32874,1316,GARLAND AVE,BROWN FORMAN EMPLOYEE CAFE
97.0544880918,97113,1317,U.S. HWY 42,STARBUCKS
97.0601274077,93454,1318,WILL WAY,APPLEBEE'S
97.0636438971,89736,1319,E. MARKET STREET,TOAST ON MARKET
97.0638239056,35205,1320,CANE RUN ROAD,MOBY DICK-CANE RUN
97.064056487,94976,1321,BARDSTOWN RD,CAFFE BAR MAHALA
97.0666241846,96847,1322,SUMMIT PLAZA DR,MITCHELL'S FISH MARKET
97.069376569,35054,1323,N. OSAGE DR.,OWL CREEK POOL SNACK BAR
97.0719239081,59410,1324,BARDSTOWN ROAD,KFC #Y317002
97.0756769683,63867,1325,E. MAIN STREET,CONCESSION STAND #204
97.079473501,66116,1326,LAGRANGE ROAD,ARBY'S #7204
97.0797786373,38442,1327,DUTCHMANS LANE,JEWISH COMMUNITY CENTER POOL SNACK BAR
97.0800976829,60210,1328,FISHER PARK DRIVE,SCHLOTZSKY'S
97.0813431809,94317,1329,PRIORITY WAY,SLEEP INN
97.0813431809,97248,1330,CHAMBERLAIN LN.,ZEGGZ AMAZING EGGS
97.0813431809,99353,1331,S. 3RD STREET,VISA VIS BAR & GRILL
97.0838290704,33244,1332,KLONDIKE LANE,ELKS LOUISVILLE LODGE #8
97.0845377145,98147,1333,POPLAR LEVEL RD,TACO BELL
97.0857831473,81496,1334,BAXTER AVENUE,JIMMY JOHN'S #1081
97.0862470997,89726,1335,SUMMIT PLAZA DRIVE,MARTINI ITALIAN BISTRO
97.0867948893,60984,1336,S. FLOYD STREET,CLUB STAND #03-EHRLER'S / PAPA JOHNS STADIUM
97.087576499,79610,1337,NORTON HEALTHCARE BLVD,CORBETT'S
97.0888662957,93343,1338,LIME HOUSE LN.,OXMOOR COUNTRY CLUB POOL SNACK BAR
97.0981103045,94940,1339,STANDIFORD PLAZA,SUBWAY
97.0994366889,99670,1340,BARDSTOWN ROAD,FIESTA TIME AMIGOS
97.0995839442,98295,1341,OUTER LOOP STE FCO5,DAIRY QUEEN
97.1023877988,88173,1342,LAGRANGE ROAD #120,EL NOPAL
97.1024314914,77580,1343,VON ALLMEN COURT,LONGHORN STEAKHOUSE #287
97.1026605753,63546,1344,NATIONAL TURNPIKE,WHITE CASTLE #31
97.1036902096,36994,1345,SOUTH 7TH STREET,DOMINO'S PIZZA #1426
97.1069598038,94801,1346,S. 3RD ST.,JIM PATTERSON STADIUM #2
97.1084900042,62821,1347,PARKDALE AVENUE,UPPER HIGHLANDS SWIM CLUB
97.1094134686,67018,1348,JOHNSONTOWN ROAD,BETH HAVEN  INSIDE CONCESSION
97.1132217337,92536,1349,S. 4TH STREET,CHIPOTLE MEXICAN GRILL
97.1143356633,94367,1350,S. 5TH ST.,MASALA GRILL
97.1176774522,100863,1351,PHILLIPS LN.,PITA HUT SW4
97.1194135772,71383,1352,PRESTON HIGHWAY,SUBWAY #24964
97.120825883,87198,1353,WESTPORT ROAD,BEARNO'S PIZZA
97.1244126604,97215,1354,STONESTREET RD.,PRAIRIE VILLAGE BASEBALL/SOFTBALL
97.1245599157,97780,1355,W. BROADWAY,TACO BELL
97.1252985233,37633,1356,OLD SHEPHERDSVILLE ROAD,SUBWAY
97.1279054063,96541,1357,"PRESTON HWY., SUITE 101",LITTLE CAESARS
97.1282478454,99559,1358,SOUTH WATTERSON TRAIL,LA NELA CAFETERIA & BAKERY
97.1355666478,68546,1359,STANDIFORD PLAZA DRIVE,FAZOLI'S
97.1357709603,99668,1360,BLANKENBAKER PKWY,FIRE FRESH BBQ
97.1357709603,99953,1361,BARDSTOWN RD. STE 108,KATMANDU KITCHEN AND BAR
97.1375070853,73396,1362,TAYLORSVILLE ROAD,GREAT LIFE CAFE - LOUISVILLE ATHLETIC CLUB
97.1390662958,54253,1363,S. HURSTBOURNE PARKWAY,BARNES & NOBLE BOOKSELLERS
97.1403500807,66687,1364,PLANTSIDE DRIVE,SUBWAY
97.1408802256,70005,1365,BLANKENBAKER PARKWAY,KFC
97.1426534237,97682,1366,OUTER LOOP,CHICK-FIL-A
97.1438836397,87379,1367,SHELBYVILLE ROAD,MARK'S FEED STORE
97.14479353,71986,1368,BRECKENRIDGE LANE,MOE'S SOUTHWEST GRILL
97.1457741456,70742,1369,CANNONS LANE,DANISH EXPRESS
97.1505226794,98920,1370,PRESTON HWY,MARK'S SLAB HOUSE
97.1534718741,92863,1371,TAYLORSVILLE RD.,LOUI LOUI'S AUTHENTIC DETROIT STYLE PIZZA
97.1538644683,98506,1372,S 7TH ST,MUSSEL AND BURGER BAR II
97.1538644683,100050,1373,NATIONAL TURNPIKE,MARGARITA'S GRILL
97.1538644683,100098,1374,LYNDON LANE,KING DONUTS
97.1538644683,100525,1375,TAYLOR BLVD.,CACTUS JACKS
97.1538644683,100783,1376,S. HURSTBOURNE PKWY SUITE 124,YEN CHING RESTAURANT
97.1538644683,100912,1377,PACKERLAND WAY SUITE 103,FIRE OVEN PIZZA
97.1538644683,101138,1378,GRINSTEAD DR,FAT LAMB
97.1538644683,101344,1379,BARDSTOWN RD,KERN'S KORNER
97.1538644683,101500,1380,ALLIANT AVE,YOKI BUFFET
97.1538644683,101590,1381,S. 3RD ST.,D NALLEY'S
97.1538644683,101742,1382,W. KENTUCKY STREET,FREDRICKS
97.1538644683,101744,1383,S. FLOYD STREET,PANDA EXPRESS
97.1538644683,101745,1384,S. FLOYD STREET,TWISTED TACO
97.1544472287,32852,1385,PRESTON HIGHWAY,PIZZA HUT #013414
97.1568394781,91454,1386,W MAIN ST,MORTON'S STEAKHOUSE
97.1631501862,64221,1387,TIMBER RIDGE DRIVE,PAPA JOHN'S PIZZA #20
97.1638121451,82306,1388,W. MARKET STREET,PANERA BREAD
97.1639792762,89590,1389,DIXIE HIGHWAY,LOCKER ROOM SOUTH
97.1640417755,34789,1390,RIVER RD,LOUISVILLE BOAT CLUB SNACK BAR
97.1646186686,40141,1391,BLAIRWOOD ROAD,COURTYARD BY MARRIOTT
97.1682526218,87045,1392,ARENA PLAZA,KFC YUM CENTER #113 / YUM TRIO STAND
97.1707125435,78571,1393,LAGRANGE ROAD,CHAMPS ROLLERDROM HURSTBOURNE
97.1719579763,98462,1394,SHELBYVILLE RD,COALS ARTZSAN PIZZA
97.1719579763,99287,1395,RIVER ROAD,RIVER HOUSE
97.1719579763,100583,1396,HIKES LANE,VICTORIA MEXICAN RESTAURANT
97.1770860913,85426,1397,BROOKSIDE DRIVE,FORUM AT BROOKSIDE
97.1780547952,88333,1398,E. MARKET STREET,PLEASE AND THANK YOU
97.1803338449,70333,1399,SHELBYVILLE ROAD,YANG KEE NOODLE
97.1844492663,33395,1400,UPPER RIVER RD,J. HARROD'S RESTAURANT SPIRITS
97.1858844251,34453,1401,FERNDALE RD,FERNCREEK BALLPARK CONC
97.1910089239,61832,1402,OUTER LOOP,WHITE CASTLE #29
97.1952623196,82493,1403,W. OAK STREET,DISMAS CHARITIES OF LOUISVILLE
97.197858996,90552,1404,OUTER LOOP,LONGHORN STEAKHOUSE
97.1986542885,56343,1405,FRANKFORT AVENUE,NANCY'S BAGEL GROUNDS
97.2010648249,76927,1406,DUTCHMANS LANE,JIMMY JOHN'S
97.2053911301,94278,1407,S 4TH ST,INSOMNIA COOKIES
97.2062768432,95300,1408,PHILLIPS LN.,KY KINGDOM TRIPLE TREATS
97.2076558985,85264,1409,FRANKFORT AVENUE,DIFABIO'S CASAPELA
97.2080134893,91804,1410,SYCAMORE AVE,SCARLET HOPE
97.2082310124,50120,1411,WATTERSON TRAIL,DOMINO'S PIZZA #1464
97.209218318,77070,1412,HEATHER LANE,PENN STATION
97.2125779923,34838,1413,NEW CUT RD,TACO BELL #3450
97.215198611,34676,1414,SHELBYVILLE RD,MOBY DICK
97.2156175605,41292,1415,OLD SHEPHERDSVILLE ROAD,OLE HICKORY PIT BAR B Q
97.2168828691,94987,1416,FEGENBUSH LANE,GYPSY'S
97.217904382,63866,1417,E. MAIN STREET,CENTERPLATE / GRAND SLAM #120
97.2192004743,71106,1418,SHELBYVILLE ROAD,PAPA JOHN'S #11
97.2246375893,73595,1419,PARAMOUNT PARK DRIVE,COMFORT SUITES
97.2291351126,36704,1420,PRESTON HWY,TACO BELL #3871
97.2306715003,91510,1421,TOWNE CTR DR,GENGHIS GRILL
97.2311313424,61951,1422,BUECHEL BY-PASS,WENDY'S #23
97.23140007,88450,1423,DIXIE HIGHWAY,COMFORT INN
97.2316492769,87104,1424,ARENA PLAZA,KFC YUM CENTER #103 - METRO GRILL
97.2341256801,34041,1425,DIXIE HIGHWAY,MARY QUEEN OF PEACE BALLFIELD / CONCESSION
97.2346953178,92375,1426,EASTERN PKWY,CHINA ONE ZHENG
97.2376910001,61128,1427,S FLOYD STREET,CENTERPLATE - 6
97.2395127494,97250,1428,ALLIANT AVE.,HILTON GARDEN INN
97.2433241636,56073,1429,S. 5TH STREET,QUIZNO'S
97.2443320085,95274,1430,PHILLIPS LN.,KY KINGDOM COMMISSARY
97.2452438139,71712,1431,W MAIN ST,LUIGI'S
97.2463772888,84292,1432,LEXINGTON ROAD,FOUNDERS CAFE
97.2467155385,33443,1433,W. MAIN STREET,SUBWAY
97.2471056589,61010,1434,S. FLOYD STREET,SERVICE AMERICA BAR #07 / PAPA JOHNS STADIUM
97.2472820418,33291,1435,CENTRAL AVE,FOOD COURT
97.2505886855,90101,1436,SUMMIT PLAZA DRIVE,QDOBA MEXICAN GRILL
97.2510435526,87105,1437,ARENA PLAZA,KFC YUM CENTER #303 / METRO GRILL
97.2515485321,57758,1438,POPLAR LEVEL ROAD,CHINA EXPRESS
97.2688325637,78693,1439,FRANKFORT AVENUE,SWEET SURRENDER
97.2708013851,34842,1440,N. 4TH AVE,JOCKEY SILKS BOURBON BAR
97.2749607627,91685,1441,STONESTREET RD,HEART SONG
97.2791420886,92131,1442,SHELBYVILLE RD,PANERA BREAD #1669
97.279287732,33909,1443,S. 4TH AVE,SEELBACH EMPLOYEE CAFE
97.279637838,33257,1444,E. CHESTNUT STREET,ALL SPICE CAFE
97.2800749291,69072,1445,OUTER LOOP,AUNTIE ANNE'S
97.2832356178,59739,1446,CHRISTIAN CT,OXMOOR LODGE COMMUNITY
97.2843315803,64345,1447,S. HURSTBOURNE PARKWAY,ATRIA STONY BROOK
97.28465651,48491,1448,ST. MATTHEWS AVENUE,LONNIES BEST TASTE OF CHICAGO
97.2873931805,75115,1449,W. MAIN STREET,QUEUE CAFE
97.2937932735,93662,1450,S. 10TH ST.,OVER THE 9
97.2945300934,88819,1451,BARRET AVENUE,BARRET BAR
97.297798624,56579,1452,DUNDEE ROAD,BREADWORKS
97.2986916539,49463,1453,FRANKFORT AVENUE,HEINE BROTHERS COFFEE
97.3018563669,74263,1454,CENTRAL AVENUE,TURF/WINN KITCHEN
97.3028385258,34765,1455,TAYLORSVILLE RD,MOBY DICK RESTAURANT
97.303280706,94984,1456,W. MAIN ST,STARTING GATE/WINNER CIRCLE
97.3051283498,66320,1457,BLAIRWOOD ROAD,DRURY INN #105
97.305774902,81365,1458,"HERR LANE, SUITE 190",NAPA RIVER GRILL
97.3089356716,95526,1459,DIXIE HWY.,KRISPY KRUNCHY CHICKEN
97.3119976292,83391,1460,OUTER LOOP,SUBWAY #35147
97.3158921321,61012,1461,S. FLOYD STREET,SERVICE AMERICA #20 / PAPA JOHNS STADIUM
97.3158921321,74391,1462,TAYLORSVILLE ROAD,SUBWAY #12335
97.3196533201,99152,1463,MEETING ST,JOHNNY BRUSCO'S PIZZA
97.3199223012,87081,1464,ARENA PLAZA,KFC YUM CTR METRO GRILL 119 & 120
97.3200707719,83053,1465,CEDAR SPRINGS BLVD,MCDONALD'S
97.3221690233,86913,1466,DIXIE HIGHWAIY,MOBY DICK
97.3225238366,86617,1467,NEW CUT ROAD,SPECTATORS SPORTS BAR & GRILL
97.3232098789,87364,1468,"SHELBYVILLE ROAD,STE.1655",CHARLEY'S GRILLED SUB
97.3247335612,70911,1469,E. MAIN STREET,GOODWOOD BREWING CO.
97.3264696862,41556,1470,OUTER LOOP,SUBWAY #6345
97.3270291796,95617,1471,SHELBYVILLE RD.,BURGER KING
97.3290938075,91469,1472,BARDSTOWN RD,ROCKY'S PIZZA & PANINI
97.3318537033,58881,1473,DIXIE HIGHWAY,MARY QUEEN OF PEACE GYM
97.3338914919,77889,1474,W. JEFFERSON STREET,JIMMY JOHN'S GOURMET SANDWICHES
97.3346869335,33295,1475,CENTRAL AVE,LEVY RESTAURANTS / MAIN KITCHEN
97.3359467149,76252,1476,E. MAIN STREET,PRESTON PATIO GRILL CART #1
97.3377468281,99003,1477,S BROOK ST,TACO BELL #31104
97.3432545385,99866,1478,SHELBYVILLE RD.,DOC POPCORN
97.3432545385,100585,1479,S. FLOYD STREET,CITY CAFE
97.3460963229,60995,1480,S. FLOYD STREET,SERVICE AMERICA STAND #23 / PAPA JOHNS STADIUM
97.3495474373,46530,1481,GOLDSMITH LANE,ST. PIUS COMMUNITY CENTER
97.3545949034,65005,1482,CHAMBERLAIN LANE,"HOLIDAY INN EXPRESS, LOUISVILLE 265 EAST"
97.3558403362,91084,1483,7TH STREET,DIAMONDS CABARET
97.3581789704,60991,1484,S. FLOYD STREET,SERVICE AMERICA STAND #12 / PAPA JOHNS STADIUM
